dist far denver aspen	city market place area community	num
city county modesto california	city county city community town area jurisdiction state area jurisdiction place large state	loc
desc galileo	desc galileo	hum
def atom	def atom desc	desc
date hawaii become state	None	num
dist tall sears building	None	num
gr george bush purchased small interest baseball team	gr george bush	hum
plant australia national flower	plant australia national flower enty	enty
reason moon turn orange	reason moon orange desc	desc
def autism	def autism desc	desc
city city world fair 1900	call type industry programme zone indigenous story line	loc
ind person head dime	ind person	hum
weight average weight yellow labrador	None	num
ind first man fly across pacific ocean	area airspace large ocean basin water ocean	hum
date idaho become state	state western state place area jurisdiction	num
life expectancy crickets	None	num
substance metal highest melting point	substance metal	enty
ind developed vaccination polio	manufacturer company city vcrs undecided voter	hum
def epilepsy	def epilepsy desc	desc
date year titanic sink	None	num
ind first american walk space	ind first american	hum
def biosphere	def biosphere desc	desc
river us known big muddy	time related suffix unit time-related suffix unit first or second person pronoun pronoun time related suffix uni ts	loc
def bipolar disorder	def bipolar	desc
def cholesterol	def cholesterol desc	desc
ind developed macintosh computer	manufacturer company city vcrs undecided voter system operating system device platform computer	hum
def caffeine	def caffeine desc	desc
imaginary line halfway north south poles	magazine dichotomy direction relation classic romance novel movie	loc
john wayne airport	airport convenient transportation southern california choice modem airport organization	loc
hemisphere philippines	hemisphere philippines	loc
speed average speed horses kentucky derby	state school place jurisdiction team	num
mount rocky mountains	mount rocky mountains	loc
def invertebrates	def invertebrates desc	desc
temp temperature center earth	planet inert material absorbent material element material	num
date john f kennedy get elected president	president leader heroe person military and high ranking political figure union function organization researcher information	num
period old elvis presley died	period old artist celebrity star musician performer	num
orinoco river	None	loc
dist far service line net tennis	None	num
count much fiber per day	None	num
count many great lakes	None	num
plant material called linen made plant	None	enty
def teflon	def teflon desc	desc
def amitriptyline	def amitriptyline desc	desc
def shaman	def shaman desc	desc
animal proper name female walrus	None	enty
animal group turkeys called	independent trait macroscopic system factor community share group	enty
period long rip van winkle sleep	researcher bourbon name item brand	num
def triglycerides	def triglycerides desc	desc
count many liters gallon	None	num
gr name chocolate company san francisco	composition type antioxidant enzyme unliganded steroid hormone receptor transcription factor nuclear receptor city place market large city area	hum
def amphibians	def amphibians desc	desc
ind discovered x rays	manufacturer company city vcrs undecided voter	hum
ind comedian signature line talk	ind comedian	hum
def fibromyalgia	def fibromyalgia desc	desc
desc done worn outdated flags	descriptive field conflict resolution competency customer sponsor generic keyword	desc
def cc engines mean	def cc engines	desc
date elvis presley die	elvis presley die	num
city capital yugoslavia	city capital yugoslavia	loc
city milan	city milan	loc
speed speed hummingbirds fly	None	num
city oldest city united states	None	loc
ind w c fields real name	ind w	hum
river flows fargo north dakota moorhead minnesota	location small midwestern city place great domestic outsourcing site state jurisdiction place team northern state	loc
food bats eat	None	enty
state state battle bighorn take place	None	loc
desc abraham lincoln	desc abraham lincoln	hum
termeq call newborn kangaroo	termeq newborn kangaroo enty	enty
def spider veins	def spider veins desc	desc
date day month john lennon die	date day month artist pop icon musician celebrity icon	num
strait separates north america asia	north america	loc
population seattle	None	num
money much ticket titanic	None	num
city largest city world	None	loc
ind american composer wrote music west side story	ind american	hum
mall america	america	loc
def ph scale	def ph scale desc	desc
currency type currency used australia	developed country jurisdiction nation place market	enty
dist tall gateway arch st louis mo	chemical company city large metropolitan area location company	num
weight much human adult female brain weigh	None	num
ind first governor alaska	ind first state place area airline region	hum
def prism	def prism desc	desc
date first liver transplant	None	num
ind elected president south africa 1994	manufacturer company city vcrs undecided voter south africa event model specialist subgroup scandal	hum
population china	market economy nation asian country developing country	num
date rosa parks born	rosa parks born	num
reason ladybug helpful	None	desc
def amoxicillin	def amoxicillin desc	desc
ind first female united states representative	ind first developed country nation jurisdiction western country case	hum
def xerophytes	def xerophytes desc	desc
country country ponce de leon come	None	loc
event u department treasury first issued paper currency u war	event u department treasury term ordinal term numerical ordinal circuit ordinal number	enty
def desktop publishing	def desktop publishing desc	desc
temp temperature sun surface	None	num
date year canada join united nations	developed country nation jurisdiction place state international organization organization international institution institution international agency	num
gr oldest university us	gr oldest university time related suffix unit time-related suffix unit first or second person pronoun pronoun time related suffix uni ts	hum
prince edward island	province jurisdiction populated town region area	loc
date mercury year discovered	None	num
def cryogenics	def cryogenics desc	desc
def coral reefs	def coral reefs desc	desc
longest major league baseball winning streak	longest major league baseball	enty
def neurology	def neurology desc	desc
ind invented calculator	manufacturer company city vcrs undecided voter	hum
manner measure earthquakes	None	desc
desc duke ellington	descriptive field conflict resolution competency customer sponsor generic keyword ellington hum	hum
city county phoenix az	city county city market area place metropolitan area	loc
def micron	def micron desc	desc
temp sun core temperature	None	num
animal ohio state bird	ohio state bird	enty
date william shakespeare twins born	writer poet author man playwright	num
highest dam u	None	loc
color color poison arrow frog	None	enty
def acupuncture	def acupuncture desc	desc
dist length coastline state alaska	state place area airline region	num
ind name neil armstrong wife	manufacturer company city vcrs undecided voter person luminary astronaut household name name	hum
plant hawaii state flower	None	enty
ind ms american 1989	ind ms american political event experience film high profile case environmental disaster	hum
date hindenberg crash	politician rigid airship elite airship excellent military strategist	num
substance mineral helps prevent osteoporosis	None	enty
